date,fire_count,avg_frp
2016-12-21,0,0.0
2016-12-22,6,0.88
2016-12-23,3,3.4500000000000006
2016-12-24,8,3.2800000000000002
2016-12-25,0,0.0
2016-12-26,0,0.0
2016-12-27,7,6.497142857142856
2016-12-28,32,5.595625
2016-12-29,0,0.0
2016-12-30,0,0.0
2016-12-31,0,0.0
2017-01-01,7,6.428571428571429
2017-01-02,5,14.282
2017-01-03,1,1.45
2017-01-04,3,2.1233333333333335
2017-01-05,9,1.54
2017-01-06,26,4.747307692307692
2017-01-07,12,2.765
2017-01-08,1,0.8
2017-01-09,11,2.234545454545455
2017-01-10,1,1.5
2017-01-11,0,0.0
2017-01-12,0,0.0
2017-01-13,0,0.0
2017-01-14,0,0.0
2017-01-15,0,0.0
2017-01-16,4,1.415
2017-01-17,1,0.54
2017-01-18,2,2.185
2017-01-19,8,1.78625
2017-01-20,4,4.7675
2017-01-21,3,2.6333333333333333
2017-01-22,6,2.0066666666666664
2017-01-23,0,0.0
2017-01-24,2,1.8800000000000001
2017-01-25,1,8.21
2017-01-26,9,3.1255555555555556
2017-01-27,4,2.1775
2017-01-28,0,0.0
2017-01-29,6,1.8916666666666666
2017-01-30,11,2.208181818181818
2017-01-31,0,0.0
2017-02-01,0,0.0
2017-02-02,0,0.0
2017-02-03,0,0.0
2017-02-04,0,0.0
2017-02-05,3,1.8833333333333335
2017-02-06,0,0.0
2017-02-07,0,0.0
2017-02-08,1,2.38
2017-02-09,0,0.0
2017-02-10,0,0.0
2017-02-11,0,0.0
2017-02-12,0,0.0
2017-02-13,1,1.19
2017-02-14,1,1.67
2017-02-15,4,4.25
2017-02-16,4,1.1775
2017-02-17,5,3.4839999999999995
2017-02-18,3,1.9033333333333333
2017-02-19,5,5.122
2017-02-20,6,1.8983333333333334
2017-02-21,0,0.0
2017-02-22,0,0.0
2017-02-23,0,0.0
2017-02-24,0,0.0
2017-02-25,6,3.4299999999999997
2017-02-26,7,2.565714285714286
2017-02-27,1,3.62
2017-02-28,0,0.0
2017-03-01,0,0.0
2017-03-02,10,1.455
2017-03-03,9,1.7733333333333332
2017-03-04,0,0.0
2017-03-05,2,1.955
2017-03-06,2,0.84
2017-03-07,5,2.43
2017-03-08,10,1.237
2017-03-09,10,3.7260000000000004
2017-03-10,14,2.8721428571428573
2017-03-11,7,1.6614285714285713
2017-03-12,2,1.405
2017-03-13,5,2.5940000000000003
2017-03-14,1,17.18
2017-03-15,1,2.2
2017-03-16,14,1.3735714285714287
2017-03-17,6,1.8633333333333333
2017-03-18,3,1.0066666666666666
2017-03-19,3,2.1533333333333333
2017-03-20,6,1.6450000000000002
2017-03-21,0,0.0
2017-03-22,0,0.0
2017-03-23,0,0.0
2017-03-24,2,2.335
2017-03-25,3,3.8800000000000003
2017-03-26,0,0.0
2017-03-27,1,0.67
2017-03-28,8,1.355
2017-03-29,20,2.837
2017-03-30,43,3.2583720930232563
2017-03-31,9,1.598888888888889
2017-04-01,9,1.4733333333333334
2017-04-02,5,1.656
2017-04-03,15,5.531333333333333
2017-04-04,5,2.016
2017-04-05,2,3.3449999999999998
2017-04-06,8,1.595
2017-04-07,8,1.2062499999999998
2017-04-08,21,2.6228571428571428
2017-04-09,26,2.7207692307692306
2017-04-10,10,3.3049999999999997
2017-04-11,6,1.0016666666666667
2017-04-12,2,0.9850000000000001
2017-04-13,4,1.0375
2017-04-14,18,2.2783333333333333
2017-04-15,1,2.08
2017-04-16,2,0.8
2017-04-17,2,0.34
2017-04-18,1,0.98
2017-04-19,8,1.28
2017-04-20,30,2.3926666666666665
2017-04-21,24,2.4520833333333334
2017-04-22,33,6.642727272727273
2017-04-23,19,4.657368421052632
2017-04-24,0,0.0
2017-04-25,0,0.0
2017-04-26,0,0.0
2017-04-27,0,0.0
2017-04-28,2,3.205
2017-04-29,7,3.0614285714285714
2017-04-30,22,3.25
2017-05-01,0,0.0
2017-05-02,4,3.1725
2017-05-03,1,0.41
2017-05-04,1,2.33
2017-05-05,11,2.8754545454545455
2017-05-06,4,1.1575
2017-05-07,0,0.0
2017-05-08,2,1.435
2017-05-09,1,2.56
2017-05-10,4,2.455
2017-05-11,0,0.0
2017-05-12,1,3.72
2017-05-13,3,3.3866666666666667
2017-05-14,4,5.47
2017-05-15,4,4.887499999999999
2017-05-16,23,2.9782608695652173
2017-05-17,10,2.625
2017-05-18,7,3.7171428571428575
2017-05-19,1,1.19
2017-05-20,8,0.79625
2017-05-21,10,2.784
2017-05-22,15,1.764
2017-05-23,2,4.015
2017-05-24,10,1.156
2017-05-25,5,0.616
2017-05-26,8,2.0975
2017-05-27,14,2.572142857142857
2017-05-28,10,3.0020000000000002
2017-05-29,1,0.59
2017-05-30,8,2.11125
2017-05-31,6,3.473333333333333
2017-06-01,5,1.3119999999999998
2017-06-02,14,2.357142857142857
2017-06-03,16,2.06125
2017-06-04,2,1.03
2017-06-05,0,0.0
2017-06-06,0,0.0
2017-06-07,6,0.77
2017-06-08,4,2.2675
2017-06-09,7,0.9685714285714285
2017-06-10,5,3.59
2017-06-11,17,2.9194117647058824
2017-06-12,9,2.5455555555555556
2017-06-13,9,3.1155555555555554
2017-06-14,0,0.0
2017-06-15,1,5.04
2017-06-16,2,3.655
2017-06-17,8,2.76375
2017-06-18,12,3.4933333333333336
2017-06-19,7,2.7600000000000002
2017-06-20,9,1.578888888888889
2017-06-21,5,2.8600000000000003
2017-06-22,16,2.183125
2017-06-23,0,0.0
2017-06-24,8,1.87375
2017-06-25,4,2.4175
2017-06-26,8,2.36375
2017-06-27,6,2.715
2017-06-28,6,1.6500000000000001
2017-06-29,2,3.4000000000000004
2017-06-30,3,0.8733333333333334
2017-07-01,9,1.3455555555555554
2017-07-02,14,2.5942857142857143
2017-07-03,13,2.2484615384615383
2017-07-04,14,1.82
2017-07-05,11,1.9536363636363638
2017-07-06,11,3.5436363636363635
2017-07-07,10,2.734
2017-07-08,22,3.3490909090909087
2017-07-09,3,1.21
2017-07-10,8,4.175
2017-07-11,3,1.6433333333333333
2017-07-12,13,2.4353846153846153
2017-07-13,14,2.5500000000000003
2017-07-14,3,1.9833333333333334
2017-07-15,9,3.252222222222222
2017-07-16,8,2.315
2017-07-17,10,1.563
2017-07-18,12,2.6875
2017-07-19,17,2.0241176470588234
2017-07-20,5,1.762
2017-07-21,8,3.75875
2017-07-22,7,2.4499999999999997
2017-07-23,10,3.3939999999999997
2017-07-24,10,2.633
2017-07-25,19,1.0294736842105263
2017-07-26,13,1.2046153846153846
2017-07-27,7,1.7971428571428572
2017-07-28,9,4.525555555555556
